company,location,launch_date,rocket,mission,rocket_status,price,mission_status
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-07-30,Voskhod,Cosmos 431,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-08-03,Cosmos-2I (63SM),DS-P1-You #33,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-08-05,Voskhod,Cosmos 432,Retired,,Success
General Dynamics,"LC-576A2, Vandenberg AFB, California, USA",1971-08-07,Atlas-E/F OV1,OV1-20 OV1-21,Retired,,Success
RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1971-08-08,Tsyklon,Cosmos 433,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1971-08-12,Titan III(24)B,OPS 8607,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-08-19,Voskhod,Zenit-2M n†­22,Retired,,Failure
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-08-27,Cosmos-2I (63SM),Cosmos 435,Retired,,Success
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1971-09-02,Proton K/Block D,Luna-18,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-09-07,Cosmos-3M (11K65M),Cosmos 436,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-09-10,Cosmos-3M (11K65M),Cosmos 437,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-09-14,Voskhod,Cosmos 438,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-09-21,Voskhod,Cosmos 439,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-09-24,Cosmos-2I (63SM),Cosmos 440,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1971-09-28,Mu-IV S,Shinsei,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-09-28,Voskhod,Cosmos 441,Retired,,Success
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1971-09-28,Proton K/Block D,Luna-19,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-09-29,Voskhod,Cosmos 442,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-10-07,Voskhod,Cosmos 443,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-10-13,Cosmos-3M (11K65M),Cosmos 444 to 451,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-10-14,Voskhod,Cosmos 452,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-10-19,Cosmos-2I (63SM),Cosmos 453,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1971-10-23,Titan III(24)B,OPS 7616,Retired,,Success
RAE,"LA-5B, RAAF Woomera Range Complex, Australia",1971-10-28,Black Arrow,Prospero,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-11-02,Voskhod,Cosmos 454,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1971-11-03,Titan III(23)C,DSCS-II 1&2,Retired,,Success
CECLES,"ELA-1, Guiana Space Centre, French Guiana, France",1971-11-04,Europa 2,Test flight,Retired,,Failure
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1971-11-15,Scout B,Explorer 45,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-11-17,Cosmos-2I (63SM),Cosmos 455,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-11-19,Voskhod,Cosmos 456,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-11-20,Cosmos-3M (11K65M),Cosmos 457,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-11-24,Molniya-M /Block L,Molniya-2 n†­24,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-11-29,Cosmos-2I (63SM),Cosmos 458,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-11-29,Cosmos-3M (11K65M),Cosmos 459,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-11-30,Cosmos-3M (11K65M),Cosmos 460,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1971-12-02,Cosmos-2I (63SM),Intercosmos-5,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-12-02,Cosmos-3M (11K65M),Cosmos 461,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-03,Voskhod,Zenit-2M n†­25,Retired,,Failure
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1971-12-03,Tsyklon-2,Cosmos 462,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1971-12-04,Atlas-SLV3A Agena-D,AFP-827 (Canyon-4),Retired,,Failure
CNES,"ELD, Guiana Space Centre, French Guiana, France",1971-12-05,Diamant B,Polaire,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-12-06,Voskhod,Cosmos 463,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1971-12-10,Voskhod,Cosmos 464,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-12-15,Cosmos-3M (11K65M),Cosmos 465,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1971-12-16,Voskhod,Cosmos 466,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1971-12-17,Cosmos-2I (63SM),Cosmos 467,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1971-12-17,Cosmos-3M (11K65M),Cosmos 468,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-19,Molniya-M /Block L,Molniya-1 n†­25,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1971-12-20,Atlas-SLV3C Centaur-D,Intelsat 4 F3,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1971-12-25,Tsyklon-2,Cosmos 469,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1971-12-27,Soyuz M,Cosmos 470,Retired,,Partial Failure
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1971-12-27,Cosmos-3M (11K65M),Oreol,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1971-12-29,Vostok-2M,Meteor n†­21,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-01-12,Voskhod,Cosmos 471,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-01-20,Titan IIID,KH-9 & SSF-B-22,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-01-23,Atlas-SLV3C Centaur-D,Intelsat 4 F4,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-01-25,Cosmos-2I (63SM),Cosmos 472,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-02-03,Voskhod,Cosmos 473,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-02-08,Cosmos-3MRB (65MRB),BOR-2 Shuttle,Retired,,Success
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",1972-02-14,Proton K/Block D,Luna-20,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-02-16,Voskhod,Cosmos 474,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1972-02-16,Titan-III(33)B Agena-D,Jumpseat 2,Retired,,Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-02-25,Cosmos-3M (11K65M),Cosmos 475,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1972-03-01,Titan III(23)C,DSP-3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-03-01,Vostok-2M,Cosmos 476,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1972-03-03,Atlas-SLV3C Centaur-D,Pioneer 10,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-03-04,Voskhod,Cosmos 477,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-03-15,Voskhod,Cosmos 478,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-03-17,Titan III(24)B,OPS 1678,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-03-22,Cosmos-3M (11K65M),Cosmos 479,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-03-25,Cosmos-3M (11K65M),Cosmos 480,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-03-25,Cosmos-2I (63SM),Cosmos 481,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-03-27,Molniya-M /Block NVL,Venera 8,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-03-30,Vostok-2M,Meteor n†­22,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-03-31,Molniya-M /Block NVL,Cosmos 482,Retired,,Partial Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-04-03,Voskhod,Cosmos 483,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-04-04,Molniya-M /Block L,Molniya-1 n†­26 & SRET-1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-04-06,Voskhod,Cosmos 484,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-04-07,Voskhod,Intercosmos-6,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-11,Cosmos-2I (63SM),Cosmos 485,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-04-12,Molniya-M /Block SO-L,Prognoz n†­1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-04-14,Voskhod,Cosmos 486,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16,Saturn V,Apollo 16,Retired,"1,160.00",Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-21,Cosmos-2I (63SM),Cosmos 487,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-04-25,Cosmos-2I (63SM),DS-P1-You #51,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-05-05,Voskhod,Cosmos 488,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-05-06,Cosmos-3M (11K65M),Cosmos 489,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-05-17,Voskhod,Cosmos 490,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-05-19,Molniya-M /Block L,Molniya-2 n†­27,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-05-20,Titan III(24)B,OPS 6574,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-05-25,Voskhod,Cosmos 491,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-09,Voskhod,Cosmos 492,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-06-13,Atlas-SLV3C Centaur-D,Intelsat 4 F5,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-21,Voskhod,Cosmos 493,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-06-23,Cosmos-3M (11K65M),Cosmos 494,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-06-23,Voskhod,Cosmos 495,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-06-29,Molniya-M /Block SO-L,Prognoz n†­2,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-06-30,Cosmos-2I (63SM),Cosmos 497,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-06-30,Vostok-2M,Meteor n†­23,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1972-07-02,Soyuz,Cosmos 496,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-07-05,Cosmos-2I (63SM),Cosmos 498,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-07-06,Voskhod,Cosmos 499,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-07-07,Titan IIID,KH-9 & SSF-B-23,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-07-10,Cosmos-3M (11K65M),Cosmos 500,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-07-12,Cosmos-2I (63SM),Cosmos 501,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-07-13,Soyuz M,Cosmos 502,Retired,,Partial Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1972-07-19,Voskhod,Cosmos 503,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-07-20,Cosmos-3M (11K65M),Cosmos 504 to 511,Retired,,Success
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1972-07-29,Proton K/Block D,DOS-2,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-08-02,Voskhod,Cosmos 513,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1972-08-10,Feng Bao 1,Shiyan Peizhong,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-08-16,Cosmos-3M (11K65M),Cosmos 514,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-08-18,Voskhod,Cosmos 515,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1972-08-19,Mu-IV S,Denpa,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1972-08-21,Atlas-SLV3C Centaur-D,OAO-3,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1972-08-21,Tsyklon-2,Cosmos 516,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-08-30,Cosmos-2I (63SM),Intercosmos-7,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-08-30,Voskhod,Cosmos 517,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-09-01,Titan III(24)B,OPS 8888,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-09-02,Voskhod,Zenit-4M n†­40,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-09-15,Voskhod,Cosmos 518,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-09-16,Voskhod,Cosmos 519,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-09-19,Molniya-M /Block 2BL,Cosmos 520,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-09-29,Cosmos-3M (11K65M),Cosmos 521,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-09-30,Molniya-M /Block L,Molniya-2 n†­28,Retired,,Success
General Dynamics,"LC-576A1, Vandenberg AFB, California, USA",1972-10-02,Atlas-E/F Burner,P72-1,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-10-04,Voskhod,Cosmos 522,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-05,Cosmos-2I (63SM),Cosmos 523,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1972-10-10,Titan IIID,KH-9 & SSF-C-3,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-11,Cosmos-2I (63SM),Cosmos 524,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-10-14,Molniya-M /Block L,Molniya-1 n†­29,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-10-17,Cosmos-3M (11K65M),Strela-2M satellite,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-18,Voskhod,Cosmos 525,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1972-10-25,Cosmos-2I (63SM),Cosmos 526,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-26,Vostok-2M,Meteor n†­24,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-10-31,Voskhod,Cosmos 527,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-11-01,Cosmos-3M (11K65M),Cosmos 528 to 535,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1972-11-03,Cosmos-3M (11K65M),Cosmos 536,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1972-11-15,Scout D1,Explorer 48,Retired,,Success
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1972-11-23,N1-L3,7L (Soyuz 7K-LOK No.1),Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1972-11-25,Voskhod,Cosmos 537,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1972-11-30,Cosmos-2I (63SM),Intercosmos-8,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1972-12-02,Molniya-M /Block L,Molniya-1 n†­30,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-12,Molniya-M /Block L,Molniya-2 n†­31,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-14,Voskhod,Cosmos 538,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19,Saturn V,Apollo 17,Retired,"1,160.00",Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1972-12-20,Atlas-SLV3A Agena-D,AFP-827 (Canyon-5),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-21,Cosmos-3M (11K65M),Cosmos 539,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1972-12-21,Titan III(24)B,OPS 3978,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1972-12-25,Cosmos-3M (11K65M),Cosmos 540,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1972-12-27,Soyuz M,Cosmos 541,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1972-12-28,Vostok-2M,Cosmos 542,Retired,,Partial Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-01-11,Voskhod,Cosmos 543,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-01-20,Cosmos-3M (11K65M),Cosmos 544,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-01-24,Cosmos-2I (63SM),Cosmos 545,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",1973-01-26,Cosmos-3M (11K65M),Cosmos 546,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-01,Voskhod,Cosmos 547,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-02-03,Molniya-M /Block L,Molniya-1 n†­32,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-02-08,Voskhod,Cosmos 548,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-02-15,Molniya-M /Block SO-L,Prognoz n†­3,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-02-28,Cosmos-3M (11K65M),Cosmos 549,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-01,Voskhod,Cosmos 550,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1973-03-06,Voskhod,Cosmos 551,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",1973-03-06,Atlas-SLV3A Agena-D,AFP-720 (Rhyolite-2),Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-03-09,Titan IIID,KH-9,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-03-20,Vostok-2M,Meteor n†­25,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-03-22,Voskhod,Cosmos 552,Retired,,Success
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1973-04-03,Proton K,Saliout-2,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-04-05,Molniya-M /Block L,Molniya-2 n†­33,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1973-04-06,Atlas-SLV3D Centaur-D1A,Pioneer 11,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-04-12,Cosmos-2I (63SM),Cosmos 553,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-19,Voskhod,Cosmos 554,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-04-19,Cosmos-2I (63SM),Intercosmos-9,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1973-04-25,Tsyklon-2,Cosmos 556,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-04-25,Voskhod,Cosmos 555,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-05,Voskhod,Cosmos 554,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1973-05-14,Saturn V,Skylab 1,Retired,"1,160.00",Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-05-16,Titan III(24)B,OPS 2093,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-05-17,Cosmos-2I (63SM),Cosmos 558,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-05-18,Soyuz U,Cosmos 559,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",1973-05-22,Diamant B,Castor & Pollux,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-23,Voskhod,Cosmos 560,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1973-05-24,Cosmos-3MRB (65MRB),BOR-3 Shuttle,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-05-25,Cosmos-3M (11K65M),Zaliv #17,Retired,,Failure
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-05-25,Saturn IB,Skylab 2,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-05-25,Voskhod,Cosmos 561,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-05-29,Vostok-2M,Meteor n†­26,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-06-05,Cosmos-2I (63SM),Cosmos 562,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-06,Voskhod,Cosmos 563,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-08,Cosmos-3M (11K65M),Cosmos 564 to 571,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-10,Voskhod,Cosmos 572,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1973-06-12,Titan III(23)C,DSP-4,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1973-06-15,Soyuz,Cosmos 573,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1973-06-20,Cosmos-3M (11K65M),Cosmos 574,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-06-21,Voskhod,Cosmos 575,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1973-06-26,Cosmos-3M (11K65M),Tselina-OM #20,Retired,,Failure
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1973-06-26,Titan III(24)B,OPS 4018,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-06-27,Soyuz M,Cosmos 576,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1973-07-04,Voskhod,Zenit-4M n†­50,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-07-11,Molniya-M /Block L,Molniya-2 n†­34,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1973-07-13,Titan IIID,KH-9,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-07-25,Voskhod,Cosmos 577,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1973-07-28,Saturn IB,Skylab 3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1973-08-01,Voskhod,Cosmos 578,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1973-08-21,Voskhod,Cosmos 579,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1973-08-21,Titan-III(33)B Agena-D,Jumpseat 3,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1973-08-22,Cosmos-2I (63SM),Cosmos 580,Retired,,Success
