company,location,launch_date,rocket,mission,rocket_status,price,mission_status
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1988-06-21,Cosmos-3M (11K65M),Cosmos 1954,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",1988-06-22,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1988-07-05,Tsyklon-3,Okean 1,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1988-07-14,Cosmos-3M (11K65M),Cosmos 1958,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1988-07-18,Cosmos-3M (11K65M),Cosmos 1959,Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-07-21,Ariane 3,"Insat 1C, Eutelsat-1 F5",Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1988-07-26,Tsyklon-3,Meteor-3 n†­2,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1988-07-28,Cosmos-3M (11K65M),Cosmos 1960,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",1988-07-31,ASLV,SROSS-B,Retired,,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1988-08-05,Long March 2C,FSW-1 No.2,Active,30.8,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1988-08-30,Molniya-M /Block 2BL,Cosmos 1966,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1988-09-02,Titan 34D,USA-31 (Vortex),Retired,,Partial Failure
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1988-09-05,Titan II(23)G,USA-32,Retired,35,Success
CASC,"Taiyuan Satellite Launch Center, China",1988-09-06,Long March 4A,Fengyun 1A,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988-09-08,Ariane 3,"GStar 5, SBS 5",Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1988-09-16,H-I UM-129A (9SO),Sakura 3B,Retired,,Success
IAI,"Pad 1, Palmachim Airbase, Israel",1988-09-19,Shavit,Ofek-1,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1988-09-24,Atlas-E/F Star-37S-ISS,NOAA-H,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1988-09-29,Molniya-M /Block ML,Molniya-3 n†­134,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1988-09-29,Space Shuttle Discovery,STS-26R,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1988-10-03,Molniya-M /Block 2BL,Cosmos 1974,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1988-10-11,Tsyklon-3,Cosmos 1975,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1988-10-25,Molniya-M /Block 2BL,Cosmos 1977,Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-10-28,Ariane 2,TDF-1,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1988-11-06,Titan 34D,USA-33 (KH-11),Retired,,Success
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1988-11-15,Energiya/Buran,Buran,Retired,"5,000.00",Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1988-11-18,Tsyklon-2,Cosmos 1979,Retired,,Success
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1988-11-23,Zenit-2,Cosmos 1980,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1988-12-02,Space Shuttle Atlantis,STS-27R,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988-12-11,Ariane 44LP,"Skynet 4B, Astra 1A",Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1988-12-22,Long March 3,DFH-2A-T3,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1988-12-22,Molniya-M /Block ML,Molniya-3 n†­135,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1988-12-23,Tsyklon-3,Cosmos 1985,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1988-12-28,Molniya-M /Block ML,Molniya-1 n†­136,Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-01-27,Ariane 2,Intelsat-5A 15,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-02-10,Tsyklon-3,Cosmos 1994 to 1999,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-02-14,Molniya-M /Block 2BL,Cosmos 2001,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-02-14,Delta II 6925,NAVSTAR II-1 (USA 35),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-14,Cosmos-3M (11K65M),Cosmos 2002,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1989-02-15,Molniya-M /Block ML,Molniya-1 n†­137,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1989-02-21,Mu-III S2,Akebono,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-22,Cosmos-3M (11K65M),Cosmos 2004,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-02-26,Cosmos-3M (11K65M),Cosmos 1992,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-02-28,Tsyklon-3,Meteor-2 n†­18,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-03-06,Ariane 44LP,JCSAT-1 & Meteosat 4,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-03-13,Space Shuttle Discovery,STS-29R,Retired,450,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-03-24,Cosmos-3M (11K65M),Cosmos 2008 to 2015,Retired,,Success
Douglas,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-03-24,Delta 3920-8,Delta Star (USA 36),Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-04-02,Ariane 2,TELE-X,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-04-04,Cosmos-3M (11K65M),Cosmos 2016,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-05-04,Space Shuttle Atlantis,STS-30R,Retired,450,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-05-10,Titan 34D,USA-37 (Vortex),Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",1989-05-22,ASLV,SROSS C,Retired,,Partial Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-06-05,Ariane 44L,"Superbird-A, DFS-1",Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1989-06-07,Cosmos-3M (11K65M),Cosmos 2026,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-06-08,Molniya-M /Block ML,Molniya-3 n†­138,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-06-09,Tsyklon-3,Okean 2a,Retired,,Failure
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-06-10,Delta II 6925,NAVSTAR II-2,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-06-14,Cosmos-3M (11K65M),Cosmos 2027,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1989-06-14,Titan IV(402)A,DSP,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-07-04,Cosmos-3M (11K65M),Nadiezhda n†­4,Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-07-12,Ariane 3,Olympus-1,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-07-24,Tsyklon-2,Cosmos 2033,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1989-07-25,Cosmos-3M (11K65M),Cosmos 2034,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-08-08,Space Shuttle Columbia,STS-28R,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-08-08,Ariane 44LP,"TVSAT-2, Hipparcos",Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1989-08-18,Delta II 6925,NAVSTAR II-3,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1989-08-27,Delta II 6925,BSB-R1,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-08-28,Tsyklon-3,Cosmos 2037,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-09-04,Titan 34D,DSCS-II-16 & DSCS-III-A2,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1989-09-05,H-I UM-129A (6SO),Himawari 4,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1989-09-06,Titan II(23)G,USA-45,Retired,35,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-09-14,Tsyklon-3,Cosmos 2038 to 2043,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1989-09-25,Atlas-G Centaur-D1AR,FLTSATCOM-8,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1989-09-27,Molniya-M /Block ML,Molniya-1 n†­139,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-09-27,Tsyklon-2,Cosmos 2046,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-09-28,Tsyklon-3,Intercosmos 24 & Magion 2,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-10-18,Space Shuttle Atlantis,STS-34R,Retired,450,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1989-10-24,Tsyklon-3,Meteor-3 n†­3,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-10-27,Ariane 44L,Intelsat 6AF2,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-11-23,Space Shuttle Discovery,STS-33R,Retired,450,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",1989-11-23,Molniya-M /Block 2BL,Cosmos 2050,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1989-11-24,Tsyklon-2,Cosmos 2051,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1989-11-28,Molniya-M /Block ML,Molniya-3 n†­140,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1989-12-11,Delta II 6925,NAVSTAR II-5,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1989-12-27,Tsyklon-3,Cosmos 2053,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-01-01,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,136.6,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09,Space Shuttle Columbia,STS-32,Retired,450,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1990-01-18,Cosmos-3M (11K65M),Cosmos 2056,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-01-22,Ariane 40,"SPOT-2, Oscar 14-19",Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1990-01-23,Molniya-M /Block ML,Molniya-3 n†­141,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1990-01-24,Mu-III S2,Hiten,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1990-01-24,Delta II 6925,USA-50 (GPS II-6),Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1990-01-30,Tsyklon-3,Cosmos 2058,Retired,,Success
